"","MCPP","CURFEW/LOITERING/VAGRANCY VIOLATIONS","FAMILY OFFENSES, NONVIOLENT","FRAUD OFFENSES","TRESPASS OF REAL PROPERTY","PORNOGRAPHY/OBSCENE MATERIAL","DRUNKENNESS","LIQUOR LAW VIOLATIONS","PROSTITUTION OFFENSES","GAMBLING OFFENSES"
"1","ALASKA JUNCTION",1,2,59,25,0,0,0,0,0
"2","ALKI",0,0,26,4,1,0,0,0,0
"3","BALLARD NORTH",0,1,67,21,2,1,1,0,0
"4","BALLARD SOUTH",0,1,86,95,0,0,0,0,0
"5","BELLTOWN",1,1,59,42,0,0,2,1,0
"6","BITTERLAKE",0,3,75,34,0,0,0,19,0
"7","BRIGHTON/DUNLAP",0,1,36,13,2,0,0,0,0
"8","CAPITOL HILL",0,5,153,146,3,2,0,1,0
"9","CENTRAL AREA/SQUIRE PARK",0,2,76,51,1,0,2,0,0
"10","CHINATOWN/INTERNATIONAL DISTRICT",1,2,34,84,0,0,1,1,0
"11","CLAREMONT/RAINIER VISTA",0,0,18,10,0,0,0,1,0
"12","COLUMBIA CITY",0,1,16,9,2,0,0,0,0
"13","COMMERCIAL DUWAMISH",0,0,5,2,0,0,0,0,0
"14","COMMERCIAL HARBOR ISLAND",0,0,1,3,0,0,0,0,0
"15","DOWNTOWN COMMERCIAL",3,2,131,218,0,1,8,1,0
"16","EASTLAKE - EAST",0,0,1,5,0,0,0,0,0
"17","EASTLAKE - WEST",0,0,18,6,1,0,0,0,0
"18","FAUNTLEROY SW",0,0,7,4,0,0,0,0,0
"19","FIRST HILL",0,1,71,123,4,0,0,0,0
"20","FREMONT",0,1,41,28,1,1,0,0,0
"21","GENESEE",0,0,8,6,0,0,0,0,0
"22","GEORGETOWN",0,0,23,27,0,1,0,0,0
"23","GREENWOOD",0,1,51,54,3,0,0,1,0
"24","HIGH POINT",0,3,26,16,1,0,0,0,0
"25","HIGHLAND PARK",0,1,33,25,0,0,0,0,0
"26","HILLMAN CITY",0,1,11,5,0,0,0,0,0
"27","JUDKINS PARK/NORTH BEACON HILL",0,2,26,51,0,0,0,0,0
"28","LAKECITY",0,6,85,102,0,0,0,0,0
"29","LAKEWOOD/SEWARD PARK",0,0,26,2,1,0,0,0,0
"30","MADISON PARK",0,0,17,3,0,0,0,0,0
"31","MADRONA/LESCHI",0,0,40,23,1,0,0,0,0
"32","MAGNOLIA",0,0,67,25,1,0,0,0,0
"33","MID BEACON HILL",0,0,42,12,0,0,0,0,0
"34","MILLER PARK",0,1,20,15,1,0,0,0,0
"35","MONTLAKE/PORTAGE BAY",0,1,17,7,0,0,0,0,0
"36","MORGAN",0,0,38,3,0,0,0,0,0
"37","MOUNT BAKER",0,1,26,26,2,0,0,0,0
"38","NEW HOLLY",0,0,21,6,0,0,0,0,0
"39","NORTH ADMIRAL",0,0,42,11,3,0,0,0,0
"40","NORTH BEACON HILL",0,1,61,28,0,0,0,0,0
"41","NORTH DELRIDGE",0,2,16,14,0,0,0,0,0
"42","NORTHGATE",0,7,135,126,5,0,0,10,0
"43","PHINNEY RIDGE",0,0,22,12,0,0,0,0,0
"44","PIGEON POINT",0,0,3,4,0,0,0,0,0
"45","PIONEER SQUARE",0,1,24,39,3,0,1,0,0
"46","QUEEN ANNE",0,2,149,111,1,2,1,0,0
"47","RAINIER BEACH",0,0,24,10,1,0,0,0,0
"48","RAINIER VIEW",0,2,27,8,1,0,0,0,0
"49","ROOSEVELT/RAVENNA",0,4,106,34,2,0,0,0,0
"50","ROXHILL/WESTWOOD/ARBOR HEIGHTS",0,0,49,37,0,0,0,0,0
"51","SANDPOINT",0,11,85,17,4,0,0,0,0
"52","SLU/CASCADE",0,2,121,96,0,0,0,1,0
"53","SODO",0,0,100,29,0,0,0,0,0
"54","SOUTH BEACON HILL",0,1,20,6,0,0,0,0,0
"55","SOUTH DELRIDGE",0,0,16,13,0,0,0,0,0
"56","SOUTH PARK",0,1,13,13,0,0,0,0,0
"57","UNIVERSITY",0,1,113,75,2,0,0,0,0
"58","WALLINGFORD",0,1,54,30,1,0,0,0,0
