"","MCPP","DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY","EMBEZZLEMENT","KIDNAPPING/ABDUCTION","LARCENY-THEFT","STOLEN PROPERTY OFFENSES","COUNTERFEITING/FORGERY","ANIMAL CRUELTY","BAD CHECKS"
"1","ALASKA JUNCTION",124,1,7,556,10,0,0,0
"2","ALKI",45,0,3,149,3,1,0,0
"3","BALLARD NORTH",99,1,2,535,8,7,2,0
"4","BALLARD SOUTH",239,2,4,1109,58,13,1,3
"5","BELLTOWN",156,3,6,613,5,5,5,1
"6","BITTERLAKE",143,0,10,498,17,4,0,1
"7","BRIGHTON/DUNLAP",97,2,3,239,9,2,3,2
"8","CAPITOL HILL",488,4,15,1549,31,14,2,4
"9","CENTRAL AREA/SQUIRE PARK",222,0,7,834,18,4,1,5
"10","CHINATOWN/INTERNATIONAL DISTRICT",289,2,4,553,67,5,1,1
"11","CLAREMONT/RAINIER VISTA",58,0,2,158,5,3,0,0
"12","COLUMBIA CITY",39,0,2,140,3,1,1,0
"13","COMMERCIAL DUWAMISH",11,1,0,18,5,0,0,0
"14","COMMERCIAL HARBOR ISLAND",4,0,0,18,2,0,0,0
"15","DOWNTOWN COMMERCIAL",444,4,13,1647,83,15,1,0
"16","EASTLAKE - EAST",13,0,0,68,2,0,0,0
"17","EASTLAKE - WEST",46,0,5,239,10,1,0,0
"18","FAUNTLEROY SW",22,0,0,79,2,0,0,0
"19","FIRST HILL",235,0,9,696,15,6,3,1
"20","FREMONT",144,0,3,590,10,1,1,1
"21","GENESEE",17,0,0,116,3,1,0,0
"22","GEORGETOWN",159,2,2,416,46,3,0,1
"23","GREENWOOD",137,0,3,456,15,5,1,1
"24","HIGH POINT",55,0,5,199,7,1,0,0
"25","HIGHLAND PARK",88,0,3,281,18,2,0,1
"26","HILLMAN CITY",24,0,0,73,0,2,0,0
"27","JUDKINS PARK/NORTH BEACON HILL",96,0,4,327,9,2,1,0
"28","LAKECITY",217,0,7,664,30,14,1,1
"29","LAKEWOOD/SEWARD PARK",17,2,1,115,1,0,0,0
"30","MADISON PARK",19,1,0,103,3,1,0,0
"31","MADRONA/LESCHI",76,0,2,360,3,2,1,3
"32","MAGNOLIA",90,0,1,494,5,5,1,0
"33","MID BEACON HILL",47,0,2,244,12,0,1,0
"34","MILLER PARK",57,0,0,210,3,0,0,0
"35","MONTLAKE/PORTAGE BAY",43,0,0,209,7,1,0,0
"36","MORGAN",59,0,5,235,2,4,0,0
"37","MOUNT BAKER",85,2,2,604,22,4,1,0
"38","NEW HOLLY",43,0,3,177,3,2,0,0
"39","NORTH ADMIRAL",65,0,3,342,2,3,0,0
"40","NORTH BEACON HILL",112,1,4,552,19,5,0,1
"41","NORTH DELRIDGE",78,0,1,223,7,0,1,1
"42","NORTHGATE",327,2,10,1755,64,12,2,2
"43","PHINNEY RIDGE",44,0,0,213,7,1,1,0
"44","PIGEON POINT",11,0,0,62,6,0,0,0
"45","PIONEER SQUARE",128,1,3,275,9,0,0,0
"46","QUEEN ANNE",413,1,4,1870,30,21,2,1
"47","RAINIER BEACH",73,0,3,185,10,1,0,1
"48","RAINIER VIEW",39,0,0,132,2,1,2,0
"49","ROOSEVELT/RAVENNA",199,1,5,1630,17,6,1,0
"50","ROXHILL/WESTWOOD/ARBOR HEIGHTS",128,0,1,512,7,5,0,0
"51","SANDPOINT",107,0,3,648,3,12,0,1
"52","SLU/CASCADE",375,2,10,1239,31,12,1,1
"53","SODO",170,3,3,673,25,9,0,0
"54","SOUTH BEACON HILL",24,0,1,82,4,0,0,1
"55","SOUTH DELRIDGE",37,0,2,114,12,1,0,0
"56","SOUTH PARK",63,2,3,148,20,0,1,0
"57","UNIVERSITY",368,0,8,1197,28,5,0,1
"58","WALLINGFORD",146,1,3,709,16,8,0,0
